region,council,mc_name,declaration
Вінницька область,Бершадська районна рада,Теплицький Віктор Олексійович,https://public.nazk.gov.ua/declaration/4e87f8f9-64cd-4ee6-859c-806e1eb94631
Вінницька область,Бершадська районна рада,Трохименко Євгеній Анатолійович,https://public.nazk.gov.ua/declaration/14b794e0-dbd7-4620-92e6-7666028b81cb
Вінницька область,Вінницька міська рада,Андронійчук Роман Степанович,https://public.nazk.gov.ua/declaration/2c0edaa1-5b32-4953-8356-1c67b8395905
Вінницька область,Вінницька міська рада,Базелюк Володимир Васильович,https://public.nazk.gov.ua/declaration/e39db59e-75c5-4e24-8d80-72c1f99c48bf
Вінницька область,Вінницька міська рада,Бессолов Степан Андрійович,https://public.nazk.gov.ua/declaration/d68e3abe-3059-45f8-877b-4071ccc4e396
Вінницька область,Вінницька міська рада,Васільєв Володимир Петрович,https://public.nazk.gov.ua/declaration/c988f195-524d-4df2-a547-13c49defe94f
Вінницька область,Вінницька міська рада,Дан Олександр Юрійович,https://public.nazk.gov.ua/declaration/a9b475f2-2793-4962-965f-8bae596c4884
Вінницька область,Вінницька міська рада,Задорожнюк Павло Миколайович,https://public.nazk.gov.ua/declaration/645e87b8-4b31-49b1-9aec-f76e046a826d
Вінницька область,Вінницька міська рада,Зажирко Юрій Дмитрович,https://public.nazk.gov.ua/declaration/b47e8d8d-a84b-4108-8731-0f27ea11fe6f
Вінницька область,Вінницька міська рада,Іващук Антоніна Янківна,https://public.nazk.gov.ua/declaration/21d768c2-b008-4a97-9aac-5c2087f93f03
Вінницька область,Вінницька міська рада,Кривіцький Віктор Броніславович,https://public.nazk.gov.ua/declaration/14bd7469-6bfe-4379-9e9b-cd566dec1960
Вінницька область,Вінницька міська рада,Кудіяров Вадим Ігорович,https://public.nazk.gov.ua/declaration/80af68ee-53a3-41fa-915a-0a64003cfaf0
Вінницька область,Вінницька міська рада,Лепей Михайло Васильович,https://public.nazk.gov.ua/declaration/f1dcf229-02d5-46e5-81e5-36139b92143e
Вінницька область,Вінницька міська рада,Лепей Олена Володимирівна,https://public.nazk.gov.ua/declaration/6964e9ed-dade-4384-991e-c04d203d0915
Вінницька область,Вінницька міська рада,Очеретний Андрій Михайлович,https://public.nazk.gov.ua/declaration/7eb8d7f7-8928-4d6e-9d2b-db4c5a05c6b2
Вінницька область,Вінницька міська рада,Паненко Василь Васильович,https://public.nazk.gov.ua/declaration/4a49a7bf-1d9c-43b9-822b-e2324b4f8f2c
Вінницька область,Вінницька міська рада,Панчук Наталя Володимирівна,https://public.nazk.gov.ua/declaration/4d40955f-6e2f-46e0-92ec-e096cad48037
Вінницька область,Вінницька міська рада,Третяк Олександр Іванович,https://public.nazk.gov.ua/declaration/b89a2cdd-4630-4208-961c-dc590e929bab
Вінницька область,Вінницька міська рада,Уманець Дмитро Андрійович,https://public.nazk.gov.ua/declaration/a25cb436-fea5-48e1-b89a-cbde288ceffb
Вінницька область,Вінницька міська рада,Чорновол Володимир Іванович,https://public.nazk.gov.ua/declaration/2018a498-6a9f-4303-a2cb-3e3193a35d5f
Вінницька область,Вінницька міська рада,Шеншин Віктор Олександрович,https://public.nazk.gov.ua/declaration/3a372b0d-8175-478d-a896-bea0f3a06f56
Вінницька область,Вінницька міська рада,Ярова Світлана Андріївна,https://public.nazk.gov.ua/declaration/a0159ce2-8afc-4586-a833-4b4108af3037
Вінницька область,Вінницька обласна рада,Барцьось Володимир Володимирович,https://public.nazk.gov.ua/declaration/56e2a553-4036-49d0-b27f-67830c37b8df
Вінницька область,Вінницька обласна рада,Василишен Володимир Миколайович,https://public.nazk.gov.ua/declaration/651251c4-65fa-4e8a-a6da-6a8a1062afe4
Вінницька область,Вінницька обласна рада,Васильчук Олександр Володимирович,https://public.nazk.gov.ua/declaration/894d257a-0dbe-47fc-9f8b-55c2f6a416f4
Вінницька область,Вінницька обласна рада,Вдовцов Михайло Михайлович,https://public.nazk.gov.ua/declaration/60db7cce-8457-428b-9a27-109402bfdece
Вінницька область,Вінницька обласна рада,Вигонюк Андрій Володимирович,https://public.nazk.gov.ua/declaration/7d0eae3d-479b-4511-b5a1-0b2a92e4d9a9
Вінницька область,Вінницька обласна рада,Горбатюк Руслан Володимирович,https://public.nazk.gov.ua/declaration/b6006d3f-5ee2-4d60-ad4a-4f42f1189d35
Вінницька область,Вінницька обласна рада,Копачевський Микола Анатолійович,https://public.nazk.gov.ua/declaration/bd1351cd-9bf7-498e-847a-e1ebe51d77bc
Вінницька область,Вінницька обласна рада,Коровій Валерій Вікторович,https://public.nazk.gov.ua/declaration/0a91b4d4-ea15-4a3d-93d7-d8108cdc1516
Вінницька область,Вінницька обласна рада,Кременюк Михайло Володимирович,https://public.nazk.gov.ua/declaration/31e67b25-5fe5-4c90-a98c-5586a723fafc
Вінницька область,Вінницька обласна рада,Крижанівський Олександр Іванович,https://public.nazk.gov.ua/declaration/f493c441-fe92-4449-b0c5-b5421fec406d
Вінницька область,Вінницька обласна рада,Куликівська Людмила Миколаївна,https://public.nazk.gov.ua/declaration/e2d338cf-b363-4a43-a507-fc9baff59938
Вінницька область,Вінницька обласна рада,Легеза Олег Вячеславович,https://public.nazk.gov.ua/declaration/ca056973-280b-4aa0-882c-4f634b5fb9be
Вінницька область,Вінницька обласна рада,Мазур Геннадій Федорович,https://public.nazk.gov.ua/declaration/6ffffa9e-bb5d-40ef-b4bb-0152ef4da98d
Вінницька область,Вінницька обласна рада,Мазур Юрій Михайлович,https://public.nazk.gov.ua/declaration/f6a9852e-2dc9-49ce-9e6c-058113ddc4f1
Вінницька область,Вінницька обласна рада,Олексієнко Олег Володимирович,https://public.nazk.gov.ua/declaration/127fc77c-a55d-4f40-aca4-222ea61a1e85
Вінницька область,Вінницька обласна рада,Рижмань Дмитро Іванович,https://public.nazk.gov.ua/declaration/91a95f14-aa4c-4b24-ae9b-bdc11d217f14
Вінницька область,Вінницька обласна рада,Саволюк Володимир Васильович,https://public.nazk.gov.ua/declaration/1be6ad0c-d5c1-4d1c-a793-f638a64b7c93
Вінницька область,Вінницька обласна рада,Скрипченко Валерій Володимирович,https://public.nazk.gov.ua/declaration/c71cd89c-4d31-4595-8936-c3b74b31742e
Вінницька область,Вінницька обласна рада,Фурман Олексій Юрійович,https://public.nazk.gov.ua/declaration/ff5e62c7-78fa-4f50-bc15-3b7af87de8a5
Вінницька область,Вінницька обласна рада,Чаленко Дмитро Андрійович,https://public.nazk.gov.ua/declaration/71d7702c-3532-4b37-b87f-4033cad65c84
Вінницька область,Вінницька районна рада,Бондар Віталій Олександрович,https://public.nazk.gov.ua/declaration/1cca54d3-af75-45cd-89b4-3a5ca72655d9
Вінницька область,Вінницька районна рада,Герцун Петро Михайлович,https://public.nazk.gov.ua/declaration/5a08f3e3-5cba-4473-9753-d4f1acdd9f72
Вінницька область,Вінницька районна рада,Єфімов Володимир Михайлович,https://public.nazk.gov.ua/declaration/b079cebd-ed4a-417b-bae1-77839d6e3aa1
Вінницька область,Вінницька районна рада,Катілов Василь Йосипович,https://public.nazk.gov.ua/declaration/2b5cb87e-d4bb-4830-b3a5-0d33a2abe66b
Вінницька область,Вінницька районна рада,Парфенюк Юрій Іванович,https://public.nazk.gov.ua/declaration/7eb6ad1f-23b5-470d-8d68-ebf11a13abea
Вінницька область,Вінницька районна рада,Саюк Борис Олександрович,https://public.nazk.gov.ua/declaration/230fbbe3-ba69-4f93-a187-c5fa1103b389
Вінницька область,Вінницька районна рада,Федчишин Ігор Петрович,https://public.nazk.gov.ua/declaration/6ced1fb4-5017-45c0-9e7a-e63e62a35dfc
Вінницька область,Вінницька районна рада,Шмігель Віктор Борисович,https://public.nazk.gov.ua/declaration/e2e206c2-394c-4718-8848-9332ac3039e2
Вінницька область,"Вінницький р-н,  Вороновицька селищна громада",Ільченко Юрій Васильович,https://public.nazk.gov.ua/declaration/407accf6-eaa5-4b99-97ab-7c207b933d70
Вінницька область,"Вінницький р-н,  Вороновицька селищна громада",Нагаєвська Ірина Володимирівна,https://public.nazk.gov.ua/declaration/8ecd9e00-277c-47bb-afed-3fbe9e381fb5
Вінницька область,"Вінницький р-н,  Вороновицька селищна громада",Сташенко Наталія Михайлівна,https://public.nazk.gov.ua/declaration/0cbf6318-f25c-428e-893b-0a2521724b01
Вінницька область,"Вінницький р-н,  Вороновицька селищна громада",Шарабудінова Ніна Юсупівна,https://public.nazk.gov.ua/declaration/966769c7-c0f6-436d-884e-6bb7f729f28c
Вінницька область,"Вінницький р-н,  Вороновицька селищна громада",Якимчук Катерина Олександрівна,https://public.nazk.gov.ua/declaration/8bdf2b95-2f40-43f8-b682-8d4df43cebcf
Вінницька область,"Вінницький р-н,  Деснянська селищна рада",Бурлак Анатолій Миколайович,https://public.nazk.gov.ua/declaration/c1cca7c2-b6fc-4a84-a725-b2d1441beea3
Вінницька область,"Вінницький р-н,  Деснянська селищна рада",Ванжула Тетяна Іванівна,https://public.nazk.gov.ua/declaration/1f9a2833-a366-4f5f-91b9-c5ac1b09eb4d
Вінницька область,"Вінницький р-н,  Деснянська селищна рада",Кандюк Анатолій Григорович,https://public.nazk.gov.ua/declaration/3b7e32eb-f24f-42f7-b1c1-9f5e4e196ea2
Вінницька область,"Вінницький р-н,  Деснянська селищна рада",Мишолов Любов Дмитрівна,https://public.nazk.gov.ua/declaration/d9bd51e6-0b13-4bc5-8c6b-fa3faaf933d1
Вінницька область,"Вінницький р-н,  Деснянська селищна рада",Перекопайко Людмила Володимирівна,https://public.nazk.gov.ua/declaration/fa16a887-e9f1-4025-b5eb-5b2330057a13
Вінницька область,"Вінницький р-н,  Деснянська селищна рада",Сосновський Володимир Іванович,https://public.nazk.gov.ua/declaration/245769c9-6f6f-4bc2-aff5-7730af6fb7a7
Вінницька область,"Вінницький р-н,  Стрижавська селищна рада",Медведська Валентина Василівна,https://public.nazk.gov.ua/declaration/7c52072d-767c-47ea-9b3a-718e26258c67
Вінницька область,"Вінницький р-н,  Стрижавська селищна рада",Мушта Віталій Анатолійович,https://public.nazk.gov.ua/declaration/34cb3499-db27-4c05-8458-29419e7e719d
Вінницька область,Гайсинська міська рада,Грабовський Петро Пилипович,https://public.nazk.gov.ua/declaration/f95ba15c-69c4-4b83-a618-68b5f3fc1d3f
Вінницька область,Гайсинська міська рада,Поліщук Микола Миколайович,https://public.nazk.gov.ua/declaration/67a5a9a0-42c0-4597-8a78-4b239c73515a
Вінницька область,Гайсинська міська рада,Руденко Віталій Миколайович,https://public.nazk.gov.ua/declaration/e293a9cc-b043-4c93-9e3f-363801e5cf8f
Вінницька область,Гайсинська міська рада,Семенюк Олександр Володимирович,https://public.nazk.gov.ua/declaration/acb39499-51c4-46d1-85eb-d665c1ca19af
Вінницька область,Гайсинська районна рада,Волошанюк Світлана Григорівна,https://public.nazk.gov.ua/declaration/736de3cc-5804-4376-a492-fd000cb88439
Вінницька область,Гайсинська районна рада,Грабовський Володимир Петрович,https://public.nazk.gov.ua/declaration/41874d90-900f-43d0-b78c-2fb00ec5d67e
Вінницька область,Гайсинська районна рада,Кирилюк Роман Миколайович,https://public.nazk.gov.ua/declaration/15a87b9b-1735-4f14-ad22-87cedb4f2b86
Вінницька область,Гайсинська районна рада,Кондратюк Анатолій Степанович,https://public.nazk.gov.ua/declaration/0861913f-44ea-4cef-8842-1351088a5098
Вінницька область,Гайсинська районна рада,Котик Наталія Володимирівна,https://public.nazk.gov.ua/declaration/544479cd-e376-4e2c-902c-eee786df79de
Вінницька область,Гайсинська районна рада,Лебідь Юрій Іванович,https://public.nazk.gov.ua/declaration/5388a142-97bb-4f10-b046-c73cb1c87c20
Вінницька область,Гайсинська районна рада,Поворознюк Микола Іванович,https://public.nazk.gov.ua/declaration/8230acb1-c5b1-43cf-aba9-b7020a5796ec
Вінницька область,Гайсинська районна рада,Семенюк Владислав Олександрович,https://public.nazk.gov.ua/declaration/d4f4f879-e63e-4d75-850a-277ae7c5d88b
Вінницька область,Гайсинська районна рада,Семенюк Оксана Іванівна,https://public.nazk.gov.ua/declaration/0c353f83-e3a6-43fe-b956-8f256b906541
Вінницька область,Гайсинська районна рада,Сікорський Степан Антонович,https://public.nazk.gov.ua/declaration/59667253-a087-4df8-9997-3bc8a9ae4646
Вінницька область,Гайсинська районна рада,Склярук Сергій Дмитрович,https://public.nazk.gov.ua/declaration/2fb29df3-ea4e-4bb9-9879-3ec030f011c4
Вінницька область,Гайсинська районна рада,Сливка Володимир Мефодійович,https://public.nazk.gov.ua/declaration/fbce7b90-62df-4e22-ad8b-c8aac83d2f89
Вінницька область,Гайсинська районна рада,Спеней Петро Григорович,https://public.nazk.gov.ua/declaration/c9397bb5-6e33-4083-812a-3dd8c48c9b66
Вінницька область,Гайсинська районна рада,Стрєльніков Вадим Юрійович,https://public.nazk.gov.ua/declaration/f079c64d-3e26-4f0e-b3a9-ce72811e283b
Вінницька область,Гайсинська районна рада,Уткін Владислав Анатолійович,https://public.nazk.gov.ua/declaration/e1cd33a1-7341-4249-ae37-4dd5a29e5ce8
Вінницька область,Гніванська міська рада,Висідалко Андрій Тимофійович,https://public.nazk.gov.ua/declaration/f0c86180-1e6c-4734-87c7-251e7878e7af
Вінницька область,Гніванська міська рада,Дрозд Альона Анатоліївна,https://public.nazk.gov.ua/declaration/2ce2df29-81d6-48ac-990d-ea1391a09aca
Вінницька область,Гніванська міська рада,Дрозд Андрій Анатолійович,https://public.nazk.gov.ua/declaration/b95aa8fb-3817-43a9-a3e9-555c4442148f
Вінницька область,Гніванська міська рада,Козаковцев Володимир Сергійович,https://public.nazk.gov.ua/declaration/05c11742-86ef-440b-bb93-d373e72f25f5
Вінницька область,Гніванська міська рада,Танасієнко Сергій Вікторович,https://public.nazk.gov.ua/declaration/876429c0-509b-4817-a017-6ea4bb219db5
Вінницька область,Жмеринська міська рада,Бігас Володимир Дмитрович,https://public.nazk.gov.ua/declaration/ae8cf5b2-a778-4e9a-ae89-d673f35669fd
Вінницька область,Жмеринська міська рада,Житницький Анатолій Адольфович,https://public.nazk.gov.ua/declaration/bab007ab-efda-455b-bfbf-a55d95f5224f
Вінницька область,Жмеринська міська рада,Коновал Анатолій Романович,https://public.nazk.gov.ua/declaration/31f7c968-8fee-44ff-ba4d-0d26596b4e0b
Вінницька область,Жмеринська міська рада,Мазуров Валерій Михайлович,https://public.nazk.gov.ua/declaration/10d342d9-987f-4d5c-9ae0-ccca90c11bd4
Вінницька область,Жмеринська міська рада,Мацера Олександр Анатолійович,https://public.nazk.gov.ua/declaration/69db13c1-6b99-45fe-8310-15e7c173ee01
Вінницька область,Жмеринська міська рада,Ніколайчук Святослав Володимирович,https://public.nazk.gov.ua/declaration/420a307d-924c-4a56-ae1f-f06e1c9ce8ba
Вінницька область,Жмеринська міська рада,Пилявець Руслан Євгенович,https://public.nazk.gov.ua/declaration/aa4640d5-d672-4f16-ad9a-6cbb27400edb
Вінницька область,Жмеринська міська рада,Сілецький Костянтин Васильович,https://public.nazk.gov.ua/declaration/dde4c5d9-9e64-4311-a751-ce5e26d21bc6
Вінницька область,Жмеринська районна рада,Гайдура Федір Павлович,https://public.nazk.gov.ua/declaration/00ed867a-6b8d-41ff-8a46-a455647dc806
Вінницька область,Жмеринська районна рада,Гамарник Володимир Анатолійович,https://public.nazk.gov.ua/declaration/6b877fb6-a6f0-42c6-b4a2-a2b78a33dbab
Вінницька область,Жмеринська районна рада,Гнаповський Ігор Іванович,https://public.nazk.gov.ua/declaration/e50c4be8-6e16-416f-8939-88d441938463
Вінницька область,Жмеринська районна рада,Дука Сергій Володимирович,https://public.nazk.gov.ua/declaration/2fa4798e-669d-4f06-9c35-b72bd5c387ed
Вінницька область,Жмеринська районна рада,Кабаков Петро Володимирович,https://public.nazk.gov.ua/declaration/04767feb-98f5-4b11-a305-3fb179878c8b
Вінницька область,Жмеринська районна рада,Мельник Леонід Леонідович,https://public.nazk.gov.ua/declaration/bc6f890b-b53e-43d2-aba8-0576fcfc5def
Вінницька область,Жмеринська районна рада,Монастирський Олександр Іванович,https://public.nazk.gov.ua/declaration/e1dc9190-ab63-4cf5-9904-dbff0a05e511
Вінницька область,Жмеринська районна рада,Твердохліб Юрій Михайлович,https://public.nazk.gov.ua/declaration/1a64b457-64ff-4c6d-b6e4-584c0e3f2615
Вінницька область,Жмеринська районна рада,Цимбал Інна Володимирівна,https://public.nazk.gov.ua/declaration/cdf0c9be-7aa2-48a7-ab2c-eea8ecef0816
Вінницька область,Жмеринська районна рада,Швець Вадим Миколайович,https://public.nazk.gov.ua/declaration/f5226403-dc6e-4d7e-af19-98a4c5373b55
Вінницька область,Жмеринська районна рада,Ярмоленко Олександр Миколайович,https://public.nazk.gov.ua/declaration/af5c7c27-5435-4a97-84f6-5686fd2715fb
Вінницька область,"Жмеринський р-н,  Браїлівська селищна рада",Копитко Олександр Васильович,https://public.nazk.gov.ua/declaration/4441367e-e511-43bc-b8e6-7a52b2aac1b0
Вінницька область,Іллінецька міська громада,Бояренко Олена Іванівна,https://public.nazk.gov.ua/declaration/36ab7156-8fad-4c14-8991-66a8d8d20deb
Вінницька область,Іллінецька міська громада,Вишнівська Тетяна Борисівна,https://public.nazk.gov.ua/declaration/dec33e15-126a-47d1-b7c9-1de85d2b91f3
Вінницька область,Іллінецька міська громада,Вітковська Жанна Григорівна,https://public.nazk.gov.ua/declaration/b77f7c6b-d193-4b90-b545-d3006b500870
Вінницька область,Іллінецька міська громада,Качур Ольга Петрівна,https://public.nazk.gov.ua/declaration/12c054ca-7e51-4e74-abbb-03038161b600
Вінницька область,Іллінецька міська громада,Купрій Інна Іванівна,https://public.nazk.gov.ua/declaration/e3e5b4c3-55f6-49aa-8b5c-a863838cb982
Вінницька область,Іллінецька міська громада,Мулярчук Іван Володимирович,https://public.nazk.gov.ua/declaration/d82d7eb6-aa90-4330-8e45-9cb2a0c1f16c
Вінницька область,Іллінецька міська громада,Павлюк Сергій Миколайович,https://public.nazk.gov.ua/declaration/801d2f29-0ce2-4a5f-89a9-7e0640872b75
Вінницька область,Іллінецька міська громада,Полуденний Володимир Трохимович,https://public.nazk.gov.ua/declaration/64374d78-0590-4272-bf5d-cdb9b049d652
Вінницька область,Іллінецька міська громада,Телевань Анатолій Петрович,https://public.nazk.gov.ua/declaration/4832ed73-5579-4206-8672-49405edd6c38
Вінницька область,Іллінецька міська громада,Чигрин Наталія Анатоліївна,https://public.nazk.gov.ua/declaration/2ae1943f-b6c4-4e70-a531-e10fbb2cd40a
Вінницька область,Іллінецька міська громада,Шапочук Олександр Іванович,https://public.nazk.gov.ua/declaration/cfd2bf6a-00ad-45dd-a098-270b9184d2f9
Вінницька область,Іллінецька районна рада,Гусак Юрій Михайлович,https://public.nazk.gov.ua/declaration/4ead680a-3a14-4c30-a374-943648e237a5
Вінницька область,Іллінецька районна рада,Загороднюк Сергій Анатолійович,https://public.nazk.gov.ua/declaration/ab0ffe39-05b4-4d73-9bfb-0e647c9032fb
Вінницька область,Іллінецька районна рада,Колосенко Олександр Дмитрович,https://public.nazk.gov.ua/declaration/3b1c4c1e-cf0f-4425-847d-6efbac191c72
Вінницька область,Іллінецька районна рада,Полєжаєва Таїса Юріївна,https://public.nazk.gov.ua/declaration/f19c0818-b116-48a0-b76a-6537cb2ff564
Вінницька область,Іллінецька районна рада,Тарасова Валентина Петрівна,https://public.nazk.gov.ua/declaration/81699357-ed57-43a3-b468-3fd98f2a906a
Вінницька область,Іллінецька районна рада,Швець Віталій Анатолійович,https://public.nazk.gov.ua/declaration/d3e55155-4e02-4c12-bca2-7295b80fc628
Вінницька область,Іллінецька районна рада,Школьний Ігор Сергійович,https://public.nazk.gov.ua/declaration/3d6783c8-e2eb-4233-af40-61fc54026ff9
Вінницька область,"Іллінецький р-н,  Дашівська селищна громада",Войченко Світлана Володимирівна,https://public.nazk.gov.ua/declaration/e769ffeb-b06e-42f7-898d-c4910a6d48ac
Вінницька область,"Іллінецький р-н,  Дашівська селищна громада",Герасимчук Станіслав Іванович,https://public.nazk.gov.ua/declaration/6a99e6e0-607a-4327-b9eb-1502b0ef6cb8
Вінницька область,"Іллінецький р-н,  Дашівська селищна громада",Ноговський Олег Васильович,https://public.nazk.gov.ua/declaration/b1a55ce9-341f-4b79-8cdf-5fdc9755f329
Вінницька область,"Іллінецький р-н,  Дашівська селищна громада",Чорномаз Сергій Андрійович,https://public.nazk.gov.ua/declaration/764a7b78-3ad6-43c3-9978-c77aace098b0
Вінницька область,Калинівська міська громада,Благодьор Микола Геннадійович,https://public.nazk.gov.ua/declaration/b2b89274-a07d-4d5b-b56a-675c01faa19c
Вінницька область,Калинівська міська громада,Блажчук Віктор Вікторович,https://public.nazk.gov.ua/declaration/4804e6d4-aed4-4f1f-a7d5-753d10115a14
Вінницька область,Калинівська міська громада,Кудін Лариса Павлівна,https://public.nazk.gov.ua/declaration/e68860c1-6edd-4a5c-97d8-79fc56f00564
Вінницька область,Калинівська міська громада,Павлюк Володимир Станіславович,https://public.nazk.gov.ua/declaration/572905ef-1bfc-4c92-b359-3c76b42f7002
Вінницька область,Калинівська міська громада,Павлюченко Володимир Леонтійович,https://public.nazk.gov.ua/declaration/ffd25d5f-e97a-42b2-b78e-fb0c6b7b7777
Вінницька область,Калинівська міська громада,Трембіцький Олег Анатолійович,https://public.nazk.gov.ua/declaration/79c35773-2b01-4649-a855-d8a2654d553b
Вінницька область,Калинівська міська громада,Турик Валентина Іванівна,https://public.nazk.gov.ua/declaration/a26a5888-378e-4673-989d-2648bfdbdf90
Вінницька область,Калинівська міська громада,Шиманський Петро Костянтинович,https://public.nazk.gov.ua/declaration/44c19a70-49d5-469b-bba2-d73c55412129
Вінницька область,Калинівська міська громада,Щьов Олександр Васильович,https://public.nazk.gov.ua/declaration/aaeacb96-2619-44f7-b131-0025d036d339
Вінницька область,Калинівська районна рада,Боримський Іван Арсеньович,https://public.nazk.gov.ua/declaration/b3065466-8786-428b-a8ac-749f65044c27
Вінницька область,Калинівська районна рада,Васюк Костянтин Іванович,https://public.nazk.gov.ua/declaration/ac62fd9b-30f5-4a4c-aef9-b42dd10c95e4
Вінницька область,Калинівська районна рада,Огороднійчук Віктор Олександрович,https://public.nazk.gov.ua/declaration/b8a4de9e-54c5-4a52-886d-ee68b1ad31b5
Вінницька область,Калинівська районна рада,Поліщук Василь Кіндратович,https://public.nazk.gov.ua/declaration/2d17d86a-283c-4f21-bea2-8038ed5b3715
Вінницька область,Калинівська районна рада,Присяжнюк Олег Вікторович,https://public.nazk.gov.ua/declaration/1e7eb112-91e7-423f-83ce-02f600dd5df2
Вінницька область,Калинівська районна рада,Пугач Андрій Олександрович,https://public.nazk.gov.ua/declaration/43a92062-b68c-49d8-81d5-080d626bf7ff
Вінницька область,Калинівська районна рада,Слабчук Юрій Олексійович,https://public.nazk.gov.ua/declaration/91fc6131-bb4f-4235-9650-df1a08e2efb4
Вінницька область,Козятинська міська рада,Гончарук Марина Едуардівна,https://public.nazk.gov.ua/declaration/a46eb949-6f91-48fe-95af-285a851536bd
Вінницька область,Козятинська міська рада,Гриб Володимир Васильович,https://public.nazk.gov.ua/declaration/a1e00a9c-2afb-4d5a-b9f8-58c713f895b2
Вінницька область,Козятинська міська рада,Каратєєв Олексій Сергійович,https://public.nazk.gov.ua/declaration/867f6b9d-9279-4fca-82b9-d67bae7a2c30
Вінницька область,Козятинська міська рада,Марченко Костянтин Володимирович,https://public.nazk.gov.ua/declaration/b527f566-9867-4f95-af14-a2830cea8778
